<RecentFiles>
  <RecentFiles>
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.txt" caret="168" fromTop="18" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:result.txt" caret="0" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="0" fromTop="0" />
  </RecentFiles>
  <RecentEdits>
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="43" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="24" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="7" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="1" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="9" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="34" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="16" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="9" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="34" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="19" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="30" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="13" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="7" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="0" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="9" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2930" fromTop="34" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="1131" fromTop="18" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="1675" fromTop="18" />
    <File id="5749AD17-3D26-4F1C-BAB3-BD3D1C039432/f:nomera.cpp" caret="2257" fromTop="29" />
  </RecentEdits>
</RecentFiles>
